number,name,year_born,year_death,start_of_reign,end_of_reign,total_years_of_reign
1,gorm_den_gamle,936,958,936,958,22
2,harald_blåtand,na,987,958,987,29
3,svend_tveskæg,na,1014,987,1014,27
4,harald_svensen,na,1018,1014,1018,4
5,knud_den_store,995,1035,1018,1035,17
6,hardeknud,1020,1042,1035,1042,7
7,magnus_den_gode,1024,1047,1042,1047,5
8,svend_estridsen,na,1076,1047,1074,27
9,harald_hén,na,1080,1074,1080,6
10,knud_den_hellige,na,1086,1080,1086,6
11,oluf_hunger,na,1095,1086,1095,9
12,erik_ejegod,1056,1103,1095,1103,8
13,niels,na,1134,1104,1134,30
14,erik_emmune,na,1137,1134,1137,3
15,erik_lam,na,1146,1137,1146,9
16,svend_grathe_;_knud_magnussen_;valdemar_den_første,na,1157,1146,1157,11
17,valdemar_den_første,1131,1182,1157,1182,25
18,knud_magnussen,1163,1202,1182,1202,20
19,valdemar_den_anden,1170,1241,1202,1241,39
20,erik_plovpenning,1216,1250,1241,1250,9
21,abel,1218,1252,1250,1252,2
22,christoffer_den_første,1219,1259,1252,1259,7
23,erik_klipping,1249,1286,1259,1286,27
24,erik_menved,1274,1319,1286,1319,33
25,christoffer_den_anden,1276,1332,1320,1326,6
26,valdemar_den_tredje,1315,1364,1326,1330,4
27,christoffer_den_anden,na,1332,1330,1332,2
,interregnum,na,na,1332,1340,8
30,valdemar_atterdag,1320,1375,1340,1375,35
31,oluf_den_anden,1370,1387,1376,1387,11
32,margrete_den_første,1353,1412,1387,1412,25
33,erik_af_pommeren,1382,1459,1412,1439,27
34,christoffer_den_tredje_af_bayern,1416,1448,1440,1459,19
35,christian_den_første,1426,1481,1459,1481,22
36,hans,1455,1513,1481,1513,32
37,christian_den_anden,1481,1559,1513,1523,10
38,"frederik_den_første,interregnum",1471,1533,1523,1533,10
,,na,na,1533,1534,1
39,christian_den_tredje,1503,1559,1534,1559,25
40,frederik_den_anden,1534,1588,1559,1588,29
41,christian_den_fjerde,1577,1648,1588,1648,60
42,frederik_den_tredje,1609,1670,1648,1670,22
43,christian_den_femte,1646,1699,1670,1699,29
44,frederik_den_fjerde,1671,1730,1699,1730,31
45,christian_den_sjette,1699,1746,1730,1746,16
46,frederik_den_femte,1723,1766,1746,1766,20
47,christian_den_syvende,1749,1808,1766,1808,42
48,frederik_den_sjette,1768,1839,1808,1839,31
49,christian_den_ottende,1786,1848,1839,1848,9
50,frederik_den_syvende,1808,1863,1848,1863,15
51,christian_den_niende,1818,1906,1863,1906,43
52,frederik_den_ottende,1843,1912,1906,1912,6
53,christian_den_tiende,1870,1947,1912,1947,35
54,frederik_den_niende,1899,1972,1947,1972,25
55,margrethe_den_anden,1940,na,1972,na,na
